indeks nazwa x y
0 0 0 0
1 Chełmońskiego 51.1038 17.0909
2 Inowrocławska 51.1154 17.0153
3 WAŁBRZYSKA 51.0649 16.9761
4 Spółdzielcza 51.1022 17.1018
5 Racławicka_(Gimnazjum_nr_23) 51.0847 17.007
6 Wilczyce_-_Wilczycka 51.1294 17.155
7 Godebskiego_(AWF_Wrocław) 51.1139 17.0987
8 DŁUGA_(Politechnika) 51.1253 17.01
9 Palacha 51.1406 17.1264
10 KRZYKI 51.075 17.0064
11 Św._Katarzyna_-_Główna_n_ż 51.0321 17.1256
12 DWORCOWA 51.1011 17.0404
13 Sowia 51.0738 17.0018
14 Żernicka_(Stacja_kolejowa) 51.1261 16.9143
15 Budziwojowice 51.2289 17.1881
16 Brzezina_-_Chrobrego 51.2015 16.8347
17 Marcepanowa 51.0624 16.9764
18 Gorlicka 51.144 17.1187
19 pl._Strzegomski_(Muzeum_Współczesne) 51.1129 17.0077
20 ROD_Bielany 51.0552 16.9775
21 Borowa_-_skrzyżowanie 51.195 17.2791
22 Różanka 51.1395 17.0217
23 PL._STASZICA 51.1225 17.0303
24 Biskupice_Podgórne_LG_Chem 51.0159 16.887
25 JARNOŁTÓW 51.1214 16.8439
26 Marcepanowa 51.0618 16.9758
27 Joannitów 51.0941 17.0338
28 KROMERA 51.132 17.0657
29 Jordanowska 51.0787 16.9578
30 Fiołkowa 51.0931 16.9783
31 LITEWSKA_(pętla) 51.1423 17.1276
32 Krępicka 51.1505 16.8553
33 Gałów_-_ferma 51.1182 16.8258
34 Strumykowa 51.1016 17.1572
35 OSIEDLE_SOBIESKIEGO_(pętla) 51.1593 17.1328
36 Adamczewskich 51.121 16.8696
37 Komandorska 51.0924 17.0233
38 DWORZEC_GŁÓWNY 51.0997 17.0355
39 KRZYKI 51.0749 17.0066
40 Niedziałkowskiego 51.1095 17.1384
41 Odrodzenia_Polski 51.1629 17.1274
42 Kamienna 51.0859 17.0465
43 Śliczna 51.0857 17.0354
44 ROD_Tysiąclecia 51.1114 16.9526
45 Metalowców 51.1328 16.9574
46 Mirków_-_Wolności 51.1636 17.1571
47 Renoma 51.1043 17.0301
48 Odrodzenia_Polski 51.1631 17.1276
49 Kromera_(Czajkowskiego) 51.1356 17.0691
50 Szkolna 51.1316 16.8482
51 Kamieńskiego 51.1396 17.0318
52 Strachowicka 51.1235 16.9191
53 KRZYKI 51.0744 17.0067
54 Gospodarska 51.1185 17.1236
55 Swojczycka 51.1141 17.1171
56 Bielany_-_MAKRO 51.0467 16.9704
57 Serbska_(C.K._Agora) 51.1337 17.0202
58 Kosmonautów_(Szpital) 51.1418 16.9059
59 KOWALE 51.129 17.1017
60 JERZMANOWO_(Cmentarz_I) 51.1236 16.8838
61 SIECHNICE_-_TIM 51.0281 17.1637
62 Magellana 51.1136 17.1213
63 Kominiarska 51.1689 16.9971
64 Ratyń_-_skrzyżowanie 51.1303 16.8477
65 LEŚNICA 51.1455 16.8704
66 PL._DANIŁOWSKIEGO 51.1383 17.06
67 STADION_WROCŁAW_(Królewiecka) 51.1452 16.9491
68 KROMERA 51.1318 17.0652
69 LUTYNIA 51.135 16.7835
70 SĘPOLNO 51.1139 17.104
71 PILCZYCE 51.1364 16.9505
72 GALERIA_DOMINIKAŃSKA 51.109 17.0412
73 Bajana 51.1307 16.9672
74 Uniwersytet_Ekonomiczny 51.0902 17.0286
75 Modra 51.1367 16.9667
76 Jerzmanowska 51.1261 16.909
77 Kosmonautów_(Szpital) 51.1418 16.9059
78 Stadion_Olimpijski 51.1168 17.0901
79 Swojczyce 51.1146 17.1288
80 Hotel_Wrocław 51.0978 17.0254
81 Broniewskiego 51.1353 17.0363
82 Kołobrzeska 51.1215 16.947
83 Kosmonautów_(Szpital) 51.1417 16.9061
84 Lipska 51.1448 16.9868
85 Wzgórze_Partyzantów 51.1043 17.0375
86 Biestrzyków_-_skrzyżowanie 51.0357 17.0431
87 Pawłowice 51.1655 17.1064
88 Na_Ostatnim_Groszu 51.1232 16.9751
89 Pasikurowice-Energetyczna 51.2153 17.1111
90 Psie_Pole_(Rondo_Lotników_Polskich) 51.1471 17.1167
91 Bociania 51.1299 17.0979
92 Bierutowska 51.1538 17.1364
93 Krzemieniecka 51.0964 16.9569
94 Strumykowa 51.1014 17.1577
95 Mroźna 51.1349 17.1384
96 Oboźna 51.0583 17.0326
97 Glinianki 51.1381 16.9363
98 Kopańskiego 51.155 17.1193
99 ROD_Bajki 51.083 17.036
100 ROD_Storczyk 51.0477 17.016
101 Brücknera 51.1395 17.0811
102 Mokrzańska 51.1475 16.8531
103 Narodowe_Forum_Muzyki 51.1079 17.0263
104 DWORZEC_AUTOBUSOWY 51.0956 17.0379
105 Wzgórze_Partyzantów 51.1049 17.038
106 Dąbrowica 51.2175 17.2168
107 Pomorska 51.1173 17.0319
108 ROD_Storczyk 51.0478 17.0159
109 Średzka 51.1453 16.8663
110 Siedlec-szkoła 51.231 17.1158
111 Reja 51.1124 17.057
112 Park_Wschodni 51.0852 17.0721
113 Pawłowice 51.1654 17.1066
114 Reja 51.1128 17.0556
115 PL._STASZICA 51.1225 17.031
116 Paulińska 51.1203 17.0354
117 Klimasa 51.08 17.0626
118 Wiśniowa 51.0845 17.0257
119 Chełmońskiego 51.1039 17.0907
120 EPI 51.0976 17.029
121 Jerzmanowska 51.1261 16.9099
122 Berenta 51.1355 17.0576
123 STĘPIN_-_pętla 51.2134 17.2855
124 BIELANY_WROCŁAWSKIE 51.0327 16.9678
125 Krzelowska 51.1775 16.8786
126 Rondo 51.0911 17.0179
127 Morwowa 51.0759 17.0519
128 KRAKOWSKA_(Centrum_handlowe) 51.09 17.0647
129 Siechnice 51.03 17.1414
130 Uniwersytet 51.1138 17.0324
131 IWINY_-_pętla 51.0453 17.0717
132 PILCZYCKA_(Anima) 51.1352 16.9692
133 Bezpieczna 51.1412 17.0251
134 Bzowa_(Centrum_Zajezdnia) 51.0976 16.9927
135 Popowice 51.1264 16.9953
136 Wschowska 51.1449 16.8814
137 Dubois 51.1173 17.0343
138 Januszkowice 51.2212 17.2385
139 Monte_Cassino 51.106 17.1055
140 LEŚNICA 51.1449 16.8716
141 Kośnego 51.1207 16.864
142 Zagłoby 51.1095 16.9302
143 Kochanowskiego 51.1151 17.0736
144 Wyszyńskiego 51.1228 17.0529
145 Małomicka 51.1668 16.8867
146 Renoma 51.1041 17.0323
147 Psary_-_Szkoła 51.1867 17.0319
148 pl._Legionów 51.1042 17.0201
149 Długołęka_-_skrzyżowanie 51.1794 17.1904
150 Bociania 51.1299 17.0972
151 Groblice_II-Kotowicka 51.0135 17.175
152 Pułtuska 51.0746 17.0164
153 Koszarowa 51.1403 17.0699
154 Zielna 51.1455 17.1079
155 Krajobrazowa 51.1291 16.8404
156 Wojszycka 51.0677 17.0143
157 Głubczycka 51.08 17.0805
158 Poleska 51.1465 17.1291
159 Os._Przyjaźni 51.0696 16.9974
160 Ceglana 51.1198 17.1219
161 Paulińska 51.121 17.035
162 Blizanowicka 51.0759 17.0928
163 Łozina_-_cmentarz 51.2283 17.1807
164 Bielany_-_PKP 51.0382 16.9754
165 Stabłowicka_(Szkoła_Podstawowa_nr_22) 51.1703 16.9016
166 PL._JANA_PAWŁA_II 51.1118 17.0205
167 GRABISZYŃSKA_(Cmentarz) 51.0904 16.9767
168 Słowiańska 51.1241 17.0428
169 DW._ŚWIEBODZKI 51.1085 17.0188
170 Iwiny_-_Polna 51.047 17.0821
171 Kamienna 51.0863 17.0468
172 Nowy_Dwór 51.1125 16.9608
173 Jarnołtowska_(Krzeptowska) 51.1203 16.8558
174 Jerzmanowo 51.121 16.8766
175 OPORÓW 51.0839 16.9709
176 Bielany_-_Kościół 51.0401 16.9691
177 Tyrmanda 51.1031 16.9455
178 Miłoszycka 51.1163 17.1276
179 Rękodzielnicza 51.137 16.9579
180 Raków 51.1707 17.2771
181 Zielna 51.1451 17.1073
182 Kleczkowska 51.1273 17.0276
183 Na_Szańcach 51.1194 17.042
184 Wyższa_Szkoła_Bankowa 51.1142 16.978
185 PL._GRUNWALDZKI 51.1116 17.0604
186 Zacisze 51.1244 17.0778
187 PL._DANIŁOWSKIEGO 51.1385 17.0591
188 Godebskiego_(AWF_Wrocław) 51.1139 17.098
189 Eluarda 51.1462 16.8674
190 DWORZEC_AUTOBUSOWY 51.0971 17.0326
191 Adamczewskich 51.1208 16.8695
192 Rynek 51.1112 17.027
193 Bąków 51.2119 17.1595
194 EPI 51.0979 17.0295
195 Kolejowa 51.1056 17.0149
196 Azaliowa 51.164 17.1118
197 Uniwersytet_Ekonomiczny 51.0899 17.0287
198 Okrzei 51.1064 17.0993
199 Ozorzyce-Krasińskiego 50.9993 17.0834
200 Jordanowska 51.0797 16.9575
201 Niedziałkowskiego 51.1088 17.1396
202 Żerniki 51.1231 16.9248
203 Las_Osobowicki 51.148 16.9838
204 Klimasa 51.0802 17.0625
205 KOZANÓW 51.1378 16.968
206 Radio_i_Telewizja 51.0717 17.006
207 ZACHODNIA_(Stacja_kolejowa) 51.1164 17.0004
208 Aleja_Wędrowców 51.088 16.9919
209 NOWY_DWÓR_(pętla) 51.1194 16.9521
210 Jarocińska 51.1423 16.9902
211 Iwiny_-_Słoneczna 51.0437 17.0783
212 Braterska 51.0676 16.9996
213 Ślęza_(ul._Przystankowa) 51.037 16.9848
214 Bielany_-_skrzyżowanie 51.0391 16.9709
