variant_id,stop_id
561170,638
561170,3124
561171,3123
561171,636
561172,638
561172,3124
561172,3431
561173,695
561173,3123
561173,636
561174,638
561174,3124
561175,695
561175,3123
561175,636
561176,48
561176,695
561176,3123
561176,636
561177,638
561177,3124
561178,3123
561178,636
577393,149
577394,148
577395,72
577396,73
577397,2716
577398,2715
577399,2251
577399,992
577400,1015
577401,149
577402,148
577402,2716
577403,73
577403,3467
577404,2838
577404,3476
577404,74
577405,2251
577405,895
577406,992
577406,1015
577407,149
577407,912
577408,148
577409,148
577410,148
577410,2716
577411,153
577411,148
577412,153
577412,148
577413,153
577413,148
577413,2716
577414,73
577415,73
577416,73
577416,2716
577419,2716
577420,1015
577421,2251
577425,1015
577425,2716
577426,148
577427,148
577428,148
577428,2716
577429,148
577430,2838
577430,3476
577430,74
577430,798
577431,2838
577431,3476
577431,74
577432,2838
577432,3476
577432,74
577432,2716
577434,74
577435,74
577436,74
577436,2716
577437,74
577438,73
577439,799
577439,73
577440,1015
577442,1015
577442,2716
577443,2716
577443,2477
577444,2040
577446,2040
577446,2716
603259,616
603259,1248
603259,711
603259,2279
603259,740
603259,748
603259,744
603259,2007
603259,1083
603260,743
603260,747
603260,739
603260,3415
603260,2828
603260,1819
603261,616
603261,1248
603261,711
603261,2279
603261,740
603261,748
603262,743
603262,747
603262,739
603262,3415
603262,2828
603262,1819
603263,3529
603263,1977
603263,2073
603263,1979
603263,1702
603263,2076
603263,2680
603263,3067
603264,3066
603264,1082
603264,1703
603264,2073
603264,1979
603264,2075
603264,1978
603264,3529
603264,3415
603265,711
603265,3422
603265,770
603266,771
603266,3415
603266,2828
603267,616
603267,1248
603267,711
603267,2279
603267,740
603267,748
603267,1084
603268,1087
603268,747
603268,739
603268,3415
603268,2828
603268,1819
603269,3420
603269,2782
603269,2928
603269,777
603269,2115
603270,2114
603270,776
603270,2781
603270,3415
603271,616
603271,1248
603271,711
603271,2279
603271,740
603271,748
603271,744
603271,2007
603271,1083
603272,2279
603272,740
603272,748
603272,744
603272,2007
603272,1083
603273,616
603273,1248
603273,711
603274,616
603274,1248
603274,711
603275,616
603275,1248
603275,711
603276,616
603276,1248
603276,711
603276,2279
603276,740
603276,748
603276,744
603277,616
603277,1248
603277,711
603277,2279
603277,740
603277,748
603277,1084
603277,744
603277,2007
603277,1083
603278,616
603278,1248
603278,711
603278,2279
603278,740
603278,748
603278,744
603278,2008
603278,1077
603278,1999
603278,1082
603279,743
603279,747
603279,739
603279,3415
603279,2828
603279,1819
603280,3415
603280,2828
603280,1819
603281,743
603281,747
603281,739
603281,3415
603281,2828
603281,1819
603282,1081
603282,2009
603282,743
603282,747
603282,739
603282,3415
603282,2828
603282,1819
603283,1200
603283,2006
603283,747
603283,739
603283,3415
603283,2828
603283,1819
603284,1200
603284,2006
603284,743
603284,747
603284,739
603284,3415
603284,2828
603284,1819
